# Swift-BAT daily average light curve for 1A 0535+262                   
# Generated Wed Jul 14 11:05:52 UTC 2021
#
#     TIME           RATE          ERROR      YEAR          DAY     STAT_ERR        SYS_ERR   DATA_FLAG   TIMEDEL_EXPO     TIMEDEL_CODED  TIMEDEL_DITHERED
#       d        count/cm^2/s   count/cm^2/s   yr            d    count/cm^2/s   count/cm^2/s                s              s              s
      53720       0.00998150     0.00134939   2005         350     0.00111591     0.00034935      0    4192.00000000  2268.37500000  4192.00000000
      53721       0.00988110     0.00388155   2005         351     0.00331003     0.00034584      0    2232.00000000   348.73437500  2232.00000000
      53722       0.04349424     0.00238629   2005         352     0.00157333     0.00152230      0    1224.00000000  1157.06250000  1224.00000000
      53723       0.05232830     0.00236693   2005         353     0.00128367     0.00183149      0    2320.00000000  2136.62500000  2320.00000000
      53724       0.02349287     0.00177491   2005         354     0.00134672     0.00082225      0    2784.00000000  1456.40625000  1128.00000000
      53725       0.08343719     0.00379637   2005         355     0.00207684     0.00292030      0    3392.00000000  1170.14062500  3392.00000000
      53727       0.03383493     0.00312389   2005         357     0.00247494     0.00118422      0     816.00000000   465.37500000   816.00000000
      53730       0.01657479     0.00177879   2005         360     0.00143967     0.00058012      0    1672.00000000  1528.31250000     0.00000000
      53731       0.01473322     0.00077646   2005         361     0.00049700     0.00051566      0   17864.00000000 12484.00000000     0.00000000
      53732       0.01053419     0.00131031   2005         362     0.00107651     0.00036870      0   30072.00000000  5741.74087226     0.00000000
      53733       0.00771088     0.00114118   2005         363     0.00094932     0.00026988      0   25736.00000000  6239.18750000 18600.00000000
      53734       0.00454397     0.00112163   2005         364     0.00095060     0.00015904      0   22616.00000000  5978.63473010 22616.00000000
      53735       0.00317896     0.00116096   2005         365     0.00098940     0.00011126      0   19632.00000000  5410.65427732 19632.00000000
      53737       0.00226382     0.00083604   2006           2     0.00071256     0.00007923      0   19952.00000000  7684.12500000 19952.00000000
      53738       0.00303167     0.00091806   2006           3     0.00078074     0.00010611      0   27192.00000000  7843.33593750 17808.00000000
      53739       0.00162095     0.00168163   2006           4     0.00143893     0.00005673      0    6656.00000000  2480.15625000  6656.00000000
      53740       0.00272191     0.00089976   2006           5     0.00076601     0.00009527      0   14032.00000000  6825.78125000 14032.00000000
      53741       0.00103436     0.00179809   2006           6     0.00153914     0.00003620      0    6968.00000000  2222.00782251  5384.00000000
      53742       0.00090956     0.00061649   2006           7     0.00052711     0.00003183      0   17744.00000000 11997.00000000 17744.00000000
      53743       0.00181543     0.00063818   2006           8     0.00054367     0.00006354      0   13296.00000000 10673.81250000 13296.00000000
      53744      -0.00035468     0.00147932   2006           9     0.00126649    -0.00001241      0    2440.00000000  1918.56250000  2440.00000000
      53745       0.00199690     0.00197452   2006          10     0.00168945     0.00006989      0    1784.00000000   990.15625000  1784.00000000
      53747       0.00264711     0.00266509   2006          12     0.00228038     0.00009265      0    3104.00000000   854.50000000  3104.00000000
      53748      -0.00047658     0.00064634   2006          13     0.00055319    -0.00001668      0   11400.00000000 10500.06250000     0.00000000
